
0,0,10,6,60,4,2147483647,2147483647,false,0,219,4,,0,Run Away,,0,90,36,0,0,null
1,1,40,18,48,4,2147483647,2147483647,false,0,216,4,,1,Run Away,,1,90,36,0,0,null
2,2,70,30,36,4,2147483647,2147483647,false,0,213,4,,2,Run Away,,2,90,36,0,0,null
3,3,100,42,24,4,92,2147483647,false,0,210,4,,3,Go to PPill,,3,120,48,0,0,null
4,4,130,54,80,4,89,2147483647,false,0,207,4,,4,Run Away,,4,120,48,0,0,null
5,5,160,66,2147483647,4,65,2147483647,false,0,204,4,,5,Run Away,,5,130,52,0,0,null
6,6,220,90,44,4,52,2147483647,false,0,198,4,,6,Go to PPill,,6,240,80,0,1,null
7,7,250,102,32,4,37,2147483647,false,0,195,4,,7,Go to PPill,,7,280,96,0,1,null
8,8,290,118,16,4,52,2147483647,false,0,191,4,,8,Go to PPill,,8,310,108,0,1,null
9,9,460,170,85,4,2147483647,44,true,163,179,3,,9,Run Away,,9,370,68,0,0,null
10,10,530,198,92,4,2147483647,30,true,135,172,3,,10,Go to PPill,,10,330,52,0,0,null
11,11,600,226,64,4,2147483647,4,true,107,165,3,,11,Run Away,,11,290,36,0,0,null
12,12,830,238,52,4,2147483647,42,true,95,162,3,,12,Run Away,,12,90,36,0,0,null
13,13,860,250,40,4,2147483647,44,true,83,159,3,,13,Go to PPill,,13,100,40,0,0,null
14,14,890,262,28,4,2147483647,26,true,71,156,3,,14,Go to PPill,,14,70,53,0,0,null
15,15,920,274,16,4,62,32,true,59,153,3,,15,Run Away,,15,40,53,0,0,null
16,16,960,290,2147483647,4,30,16,true,43,149,3,,16,Run Away,,16,0,61,0,0,null
17,17,960,315,2147483647,20,78,65,true,18,149,3,,17,Go to PPill,,17,0,48,0,0,null
18,18,960,327,2147483647,40,54,50,true,6,149,3,,18,Go to PPill,,18,0,48,0,0,null
19,19,960,351,2147483647,16,44,2147483647,false,0,149,3,,19,Go to PPill,,19,170,76,0,1,null
20,20,960,363,36,4,56,2147483647,false,0,149,3,,20,Run Away,,20,400,76,0,1,null
21,21,960,375,24,4,40,2147483647,false,0,149,3,,21,Run Away,,21,480,100,0,1,null
22,22,1130,427,88,4,2147483647,12,true,171,137,2,,22,Run Away,,22,310,60,0,0,null
23,23,1360,439,76,4,2147483647,78,true,159,134,2,,23,Go to PPill,,23,80,60,0,0,null
24,24,1440,475,72,12,100,51,true,123,126,2,,24,Run Away,,24,0,36,0,0,null
25,25,1440,487,2147483647,4,76,99,true,111,126,2,,25,Run Away,,25,0,76,0,0,null
26,26,1440,499,2147483647,4,76,93,true,99,126,2,,26,Run Away,,26,0,76,0,0,null
27,27,1440,511,2147483647,16,52,86,true,87,126,2,,27,Go to PPill,,27,0,100,0,0,null
28,28,1440,563,2147483647,4,36,55,true,35,126,2,,28,Run Away,,28,10,60,0,0,null
29,29,1440,575,2147483647,4,60,37,true,23,126,2,,29,Run Away,,29,40,60,0,0,null
30,30,1440,611,2147483647,2147483647,12,2147483647,false,0,126,2,,30,Go to PPill,,30,70,36,0,0,null
31,31,1450,623,2147483647,4,12,2147483647,false,0,125,2,,31,Run Away,,31,90,36,0,0,null
32,32,1480,635,2147483647,4,12,2147483647,false,0,122,2,,32,Run Away,,32,90,36,0,0,null
33,33,1510,647,2147483647,4,12,2147483647,false,0,119,2,,33,Run Away,,33,90,36,0,0,null
34,34,1540,659,2147483647,4,12,2147483647,false,0,116,2,,34,Run Away,,34,60,49,0,0,null
35,35,1570,671,80,4,84,2147483647,false,0,113,2,,35,Run Away,,35,30,73,0,0,null
36,36,1600,683,68,4,92,2147483647,false,0,110,2,,36,Go to PPill,,36,0,73,0,0,null
37,37,1600,708,2147483647,16,52,2147483647,false,0,110,2,,37,Run Away,,37,0,60,0,0,null
38,38,1600,744,2147483647,48,68,2147483647,false,0,110,2,,38,Go to PPill,,38,0,52,0,0,null
39,39,1600,756,2147483647,2147483647,44,2147483647,false,0,110,2,,39,Run Away,,39,0,52,0,0,null
40,40,1600,768,2147483647,2147483647,20,2147483647,false,0,110,2,,40,Run Away,,40,0,52,0,0,null
41,41,1600,796,2147483647,4,60,2147483647,false,0,110,2,,41,Go to PPill,,41,0,36,0,0,null
42,42,1600,808,52,4,92,2147483647,false,0,110,2,,42,Run Away,,42,0,36,0,0,null
43,43,1600,820,40,4,76,2147483647,false,0,110,2,,43,Go to PPill,,43,160,76,0,1,null
44,44,1600,832,28,4,60,2147483647,false,0,110,2,,44,Run Away,,44,230,92,0,1,null
45,45,1600,844,16,4,60,2147483647,false,0,110,2,,45,Go to PPill,,45,290,108,0,1,null
46,46,1760,896,112,4,2147483647,12,true,163,99,1,,46,Go to PPill,,46,130,68,0,0,null
47,47,1830,924,108,4,2147483647,30,true,135,92,1,,47,Run Away,,47,60,52,0,0,null
48,48,1890,952,136,16,2147483647,16,true,107,86,1,,48,Go to PPill,,48,0,52,0,0,null
49,49,1890,964,124,4,2147483647,62,true,95,86,1,,49,Run Away,,49,0,68,0,0,null
50,50,1890,976,112,32,2147483647,84,true,83,86,1,,50,Go to PPill,,50,0,68,0,0,null
51,51,1890,1004,108,36,2147483647,70,true,55,86,1,,51,Go to PPill,,51,0,52,0,0,null
52,52,1890,1032,136,16,2147483647,56,true,27,86,1,,52,Run Away,,52,0,36,0,0,null
53,53,1890,1044,124,4,2147483647,95,true,15,86,1,,53,Run Away,,53,0,76,0,0,null
54,54,1890,1056,112,32,2147483647,89,true,3,86,1,,54,Run Away,,54,0,92,0,0,null
55,55,1890,1068,2147483647,20,88,2147483647,false,0,86,1,,55,Run Away,,55,0,108,0,0,null
56,56,1890,1120,2147483647,16,61,2147483647,false,0,86,1,,56,Run Away,,56,0,68,0,0,null
57,57,1890,1148,2147483647,36,37,2147483647,false,0,86,1,,57,Go to PPill,,57,30,52,0,0,null
58,58,1890,1176,2147483647,16,19,2147483647,false,0,86,1,,58,Go to PPill,,58,50,36,0,0,null
59,59,1890,1188,2147483647,4,91,2147483647,false,0,86,1,,59,Go to PPill,,59,70,36,0,0,null
60,60,1920,1200,2147483647,4,88,2147483647,false,0,83,1,,60,Run Away,,60,40,76,0,0,null
61,61,1940,1212,2147483647,4,88,2147483647,false,0,81,1,,61,Go to PPill,,61,20,76,0,0,null
62,62,1960,1224,2147483647,45,88,2147483647,false,0,79,1,,62,Run Away,,62,0,76,0,0,null
63,63,1960,1276,2147483647,16,61,2147483647,false,0,79,1,,63,Go to PPill,,63,0,36,0,0,null
64,64,1960,1288,2147483647,4,37,2147483647,false,0,79,1,,64,Go to PPill,,64,0,60,0,0,null
65,65,1960,1300,2147483647,2147483647,13,2147483647,false,0,79,1,,65,Go to PPill,,65,90,84,0,0,null
66,66,1960,1312,112,16,2147483647,2147483647,false,0,79,1,,66,Run Away,,66,120,84,0,0,null
67,67,1960,1348,76,4,141,2147483647,false,0,79,1,,67,Go to PPill,,67,280,100,0,1,null
68,68,2050,1384,40,4,99,2147483647,false,0,70,1,,68,Go to PPill,,68,190,76,0,1,null
69,69,2080,1396,28,4,93,2147483647,false,0,67,1,,69,Run Away,,69,160,76,0,1,null
70,70,2240,1448,2147483647,16,2147483647,45,true,175,56,0,,70,Go to PPill,,70,60,48,0,0,null
71,71,2240,1460,2147483647,4,2147483647,39,true,163,56,0,,71,Go to PPill,,71,80,48,0,0,null
72,72,2240,1472,2147483647,4,2147483647,33,true,151,56,0,,72,Go to PPill,,72,80,52,0,0,null
73,73,2300,1496,2147483647,4,2147483647,21,true,127,50,0,,73,Go to PPill,,73,220,40,0,0,null
74,74,2320,1508,2147483647,44,2147483647,15,true,115,48,0,,74,Go to PPill,,74,200,40,0,0,null
75,75,2320,1524,2147483647,28,2147483647,7,true,99,48,0,,75,Run Away,,75,340,84,0,0,null
76,76,2520,1536,2147483647,16,2147483647,3,true,87,48,0,,76,Go to PPill,,76,140,84,0,0,null
77,77,2520,1548,2147483647,4,2147483647,59,true,75,48,0,,77,Go to PPill,,77,140,115,0,0,null
78,78,2660,1608,2147483647,2147483647,59,47,true,15,34,0,,78,Go to PPill,,78,0,91,0,0,null
79,79,2660,1620,2147483647,2147483647,35,84,true,3,34,0,,79,Go to PPill,,79,0,115,0,0,null
80,80,2660,1663,2147483647,16,2147483647,2147483647,false,0,34,0,,80,Run Away,,80,0,84,0,0,null
81,81,2660,1699,2147483647,16,141,2147483647,false,0,34,0,,81,Run Away,,81,0,100,0,0,null
82,82,2660,1735,2147483647,4,99,2147483647,false,0,34,0,,82,Run Away,,82,0,76,0,0,null
83,83,2660,1747,2147483647,4,93,2147483647,false,0,34,0,,83,Go to PPill,,83,0,76,0,0,null
84,84,2660,1799,2147483647,16,47,2147483647,false,0,34,0,,84,Run Away,,84,0,36,0,0,null
85,85,2660,1811,2147483647,4,71,2147483647,false,0,34,0,,85,Go to PPill,,85,0,36,0,0,null
86,86,2660,1823,2147483647,4,47,2147483647,false,0,34,0,,86,Run Away,,86,0,36,0,0,null
87,87,2660,1835,2147483647,4,57,2147483647,false,0,34,0,,87,Run Away,,87,30,36,0,0,null
88,88,2660,1847,2147483647,16,57,2147483647,false,0,34,0,,88,Go to PPill,,88,30,48,0,0,null
89,89,2660,1859,2147483647,4,55,2147483647,false,0,34,0,,89,Run Away,,89,30,48,0,0,null
90,90,2690,1871,2147483647,4,77,2147483647,false,0,31,0,,90,Go to PPill,,90,10,60,0,0,null
91,91,2690,1895,2147483647,36,77,2147483647,false,0,31,0,,91,Run Away,,91,30,48,0,0,null
92,92,2690,1907,2147483647,24,81,2147483647,false,0,31,0,,92,Go to PPill,,92,30,48,0,0,null
93,93,2700,1931,2147483647,4,55,2147483647,false,0,30,0,,93,Go to PPill,,93,20,36,0,0,null
94,94,2720,1943,2147483647,16,41,2147483647,false,0,28,0,,94,Go to PPill,,94,0,24,0,0,null
95,95,2720,1955,2147483647,4,41,2147483647,false,0,28,0,,95,Go to PPill,,95,0,12,0,0,null
96,96,2720,1967,2147483647,16,23,2147483647,false,0,28,0,,96,Run Away,,96,0,0,0,0,null
97,97,10,6,60,4,2147483647,2147483647,false,0,219,4,,97,Go to PPill,,97,90,36,0,0,null
98,98,40,18,48,4,2147483647,2147483647,false,0,216,4,,98,Run Away,,98,90,36,0,0,null
99,99,70,30,36,4,2147483647,2147483647,false,0,213,4,,99,Go to PPill,,99,90,36,0,0,null
